Site	Third-Party	Third-Party-Percentage	Total	Tracking	Tracking-Percentage
http://www.ebay-kleinanzeigen.de	578	99	586	171	29
http://www.youporn.com	226	99	229	9	4
http://www.blogspot.com	65	98	66	2	3
http://www.computerbild.de	374	98	383	141	37
http://www.focus.de	105	98	107	52	49
http://www.chaturbate.com	85	97	88	2	2
http://www.xhamster.com	88	95	93	6	6
http://www.wordpress.com	37	95	39	8	21
http://www.bongacams.com	43	93	46	4	9
http://www.mediamarkt.de	85	93	91	8	9
http://www.stackoverflow.com	53	93	57	37	65
http://www.pornhub.com	79	93	85	8	9
http://www.livejasmin.com	93	93	100	8	8
http://www.zeit.de	221	92	239	65	27
http://www.ok.ru	35	92	38	4	11
http://www.imdb.com	142	92	155	16	10
http://www.txxx.com	116	91	127	13	10
http://www.kicker.de	155	91	170	55	32
http://www.spiegel.de	191	90	213	100	47
http://www.n-tv.de	218	89	244	49	20
http://www.gmx.net	57	89	64	24	38
http://www.facebook.com	34	89	38	0	0
http://www.bild.de	156	87	180	72	40
http://www.welt.de	216	85	253	97	38
http://www.hclips.com	93	85	110	15	14
http://www.booking.com	80	84	95	24	25
http://www.dict.cc	34	83	41	30	73
http://www.wikia.com	27	82	33	6	18
http://www.sueddeutsche.de	165	81	203	59	29
http://www.immobilienscout24.de	115	80	144	39	27
